label,true_label,predicted_label,predicted_proba_melanoma,rotational_asymmetry_score,compactness_score,mean_color_B,mean_color_G,mean_color_R,std_color_B,std_color_G,std_color_R
non_melanoma,0,0,0.027402223685678948,0.2361116059754561,0.739,99.6235800078817,95.0714665113171,173.58504531980878,20.13633322941552,18.152219064262876,13.534047586553555
non_melanoma,0,0,0.2898187881151528,1.2613781702271922,0.845,109.49220073404857,124.57562817617163,172.8931394692264,19.28045183217893,21.70720405351812,23.65859660831983
non_melanoma,0,0,0.06839094305517997,0.3814519832833703,0.84,111.04929535232384,117.2392003998001,168.64069965017492,18.906406391800218,18.452981826554744,12.337813740132436
non_melanoma,0,0,0.06508069535902676,0.3922464721355894,0.739,176.9995778275003,190.4980368978765,219.97082788027188,16.788068278807188,17.85700231601773,11.129644792435435
non_melanoma,0,0,0.008222864443815509,0.2048063674380916,0.695,110.17746603849322,120.52064451158108,179.5335213628265,14.591144033508144,16.6488142820266,7.24189572943924
non_melanoma,0,0,0.004432186907117856,0.4956166574572212,0.747,130.18555667001004,131.2222668004012,181.1187562688064,47.196716646422,45.25596372230216,32.211293696194886
non_melanoma,0,0,0.17740897659384045,0.1314756612424052,0.723,78.98286279248599,75.66857080083489,131.93386795561904,26.22491493843262,24.626238404186186,22.754902458739927
non_melanoma,0,0,0.041611854256366564,0.2847691444010512,0.696,186.59464339452305,183.2795666566356,192.62533854950345,19.202940646606745,16.926113376860556,6.976887739679428
non_melanoma,0,0,0.18425538286443738,0.1597304473315433,0.732,98.04500536569564,122.06000820946156,151.6478974598153,16.06520540775909,15.503190007891757,11.107654557686852
non_melanoma,0,0,0.054521991366312715,0.1308427673304944,0.7,81.24711859740455,89.672590071206,180.96118084320915,19.223466597119216,19.20029499932472,18.168789561415178
melanoma,1,0,0.45590817011357765,0.2179105148919527,0.739,91.79019259785214,101.5773497825508,120.56181325996272,38.9771320423865,40.15837173294299,37.42715856793973
non_melanoma,0,0,0.013490211745934684,0.408941702866304,0.76,84.32371233093627,114.83211296214392,173.61693995336927,25.269715017864517,26.15901035337676,17.32627031210271
non_melanoma,0,0,0.0015623823233917248,0.2091332533456149,0.718,136.0072570173416,161.42299430845964,231.34023033141997,35.040009422920285,32.68906310856135,18.661301064029956
non_melanoma,0,0,0.002523944507399372,0.2767656979681275,0.716,126.70137620028768,143.4557011235081,203.96996851067135,26.96777845085833,23.74186382953504,10.706274645530902
non_melanoma,0,1,0.961812042273271,0.3079922784694496,0.727,82.50788718929255,89.72896749521989,139.4440726577438,34.21388320476108,37.69566115951862,48.60224314247619
non_melanoma,0,0,0.0003653100404573587,0.0867789152253588,0.74,127.9668139587582,145.2941876274643,230.1036823022887,27.511215560629974,27.40768085899645,10.350226794086003
non_melanoma,0,0,0.4173387327693152,0.287417492619651,0.76,117.49996608051414,131.488187092743,142.38830313308935,18.000786949550033,15.678155449667932,12.487401271138776
non_melanoma,0,0,0.0005397243706128552,0.2469901044414433,0.702,113.07596273888409,111.18652165562278,187.2999855949294,53.657442972536984,45.7842687837267,29.30823513436905
non_melanoma,0,0,0.16211812389441752,0.2874010620077609,0.733,87.76556172755875,97.4005253729546,122.135347513887,14.497785501760449,14.501346810605687,9.764159678654192
